id,الفعل الماضي,الجذر,باب الصرفي,اللزوم والتعدي,تم تدقيقه,تم إعادة تدقيقه,صحيح (الجذر حقيقي),المرجع ( المصدر ),المصدر
3210,غَلِثَ,غلث,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَلَث
3211,غَلَجَ,غلج,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب,غَلَج
3212,غَلِطَ,غلط,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَلَط
3213,غَلَظَ,غلظ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب,غَلْظ
3214,غَلُظَ,غلظ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,1, لسان العرب,غِلَظ
3215,غَلَفَ,غلف,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,غَلْف
3216,غَلِفَ,غلف,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَلَف
3217,غَلَقَ,غلق,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,غَلْق
3218,غَلِقَ,غلق,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَلَق
3219,خَتَمَ,ختم,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,خَتْم
3220,غَلَّ,غلل,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,غَلّ
3221,غَلَّ,غلل,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب,غُلُول
3222,غَلَّ,غلل,فَعِلَ يَفْعَلُ ( كسر فتح ),متعدي,0,1,1, لسان العرب,غَلِيل
3223,غَلَمَ,غلم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,غَلْم
3224,غَلِمَ,غلم,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَلَم
3225,غَلَنَ,غلن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب ,غَلَن
3226,غَلَا,غلو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب ,غُلُوّ
3227,غَلَى,غلي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب ,غَلَيَان
3228,غَلِيَ,غلي,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَلًى
3229,غَمَتَ,غمت,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَمْت
3230,غَمِتَ,غمت,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَمَت
3231,غَمَجَ,غمج,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَمَج
3232,غَمِجَ,غمج,فَعِلَ يَفْعَلُ ( كسر فتح ),متعدي,0,1,1, لسان العرب,غَمَج
3233,غَمَدَ,غمد,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,غَمْد
3234,غَمَدَ,غمد,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,غُمُود
